
Gurobi 9.5.0 (win64) logging started Tue Apr  5 17:50:01 2022

Set parameter LogFile to value "..\NewModel\Data_10_5_1\logFile.txt"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (win64)
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads
Optimize a model with 15732 rows, 4225 columns and 410396 nonzeros
Model fingerprint: 0x6dcad8e1
Variable types: 158 continuous, 4067 integer (4067 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+05]
  Objective range  [9e-01, 1e+05]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 3e+05]
Found heuristic solution: objective 983933.55536
Presolve added 0 rows and 27 columns
Presolve removed 1975 rows and 0 columns
Presolve time: 0.83s
Presolved: 13757 rows, 4252 columns, 238503 nonzeros
Variable types: 140 continuous, 4112 integer (4112 binary)

Root relaxation: objective 1.230968e+05, 642 iterations, 0.10 seconds (0.19 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 170651  5405 126886.247   75   38 132177.014 126886.247  4.00%  80.5 1087s
 175587  5476 infeasible  111      132177.014 126886.247  4.00%  78.7 1091s
 179565  6313 infeasible  106      132177.014 126886.247  4.00%  77.4 1095s
 181813  6453 infeasible  113      132177.014 126886.247  4.00%  76.6 1103s
 185360  6664 infeasible  135      132177.014 126886.247  4.00%  75.6 1106s
 191545  7118 126886.247  121   43 132177.014 126886.247  4.00%  73.6 1110s
 194635  7022 infeasible  213      132177.014 126886.247  4.00%  72.7 1117s
 200007  7402 131980.787   93   28 132177.014 126886.247  4.00%  71.3 1120s
 204423  7642 infeasible   92      132177.014 126913.247  3.98%  70.1 1126s
 209212  7365 132058.394  108   30 132177.014 126913.247  3.98%  68.9 1135s
 216162  6122 126940.247  101   18 132177.014 126940.247  3.96%  67.3 1140s
 220553  6062 infeasible   63      132177.014 127040.399  3.89%  66.3 1145s
 221949  6026 infeasible   87      132177.014 127281.968  3.70%  65.9 1150s
 228523  6978 infeasible   93      132177.014 128083.400  3.10%  64.5 1155s
 231096  7495 infeasible  108      132177.014 128083.400  3.10%  64.0 1160s
 234547  6982 128426.067  118   37 132177.014 128110.400  3.08%  63.2 1167s
 238244  6872 infeasible  124      132177.014 128441.474  2.83%  62.5 1170s
 239497  7011 infeasible   90      132177.014 128667.653  2.66%  62.5 1175s
 240625  7297 129610.970   65   42 132177.014 128667.653  2.66%  62.7 1180s
 244109  7315 infeasible   74      132177.014 129289.877  2.18%  62.1 1185s
 244908  6992 infeasible   85      132177.014 129559.328  1.98%  62.3 1190s
 247292  6589 infeasible   76      132177.014 130025.789  1.63%  62.0 1198s
 248012  6334 infeasible   65      132177.014 130168.880  1.52%  62.1 1201s
 249432  5353 infeasible   99      132177.014 131203.520  0.74%  62.2 1207s
 250207  5397 131682.113   85   45 132177.014 131584.256  0.45%  62.2 1210s
 253703  4634 infeasible   79      132177.014 131816.897  0.27%  61.8 1215s
 257870  6860 132098.633   85   22 132177.014 131853.014  0.25%  61.2 1221s
 259963  7107 131853.014   87   56 132177.014 131853.014  0.25%  60.8 1225s
 265318  9312 131934.014   85   54 132177.014 131853.014  0.25%  60.0 1230s
 268658 10111 132015.014   88   33 132177.014 131880.014  0.22%  59.5 1235s
 272613 10779 infeasible   75      132177.014 131880.014  0.22%  58.9 1243s
 274617 12131 132098.638   95   30 132177.014 131880.030  0.22%  58.7 1246s
 281088 13163 132071.633   90   22 132177.014 131907.014  0.20%  57.6 1250s
 286955 13453 infeasible  107      132177.014 131907.014  0.20%  56.7 1261s
 289090 15712 131942.942  101   57 132177.014 131915.942  0.20%  56.6 1265s
 297359 16765 infeasible  104      132177.014 131915.942  0.20%  55.6 1270s
 299650 17305 infeasible  100      132177.014 131915.942  0.20%  55.3 1277s
 301218 18626 132069.014   87   38 132177.014 131915.942  0.20%  55.2 1280s
 309313 20302 131934.030  105   50 132177.014 131934.014  0.18%  54.1 1286s
 312657 22030 infeasible   78      132177.014 131934.014  0.18%  53.7 1294s
 315660 22030 132098.633   98   12 132177.014 131934.014  0.18%  53.3 1295s
 321939 22837 131934.014   88   50 132177.014 131934.014  0.18%  52.6 1300s
 325962 24026 infeasible   85      132177.014 131934.014  0.18%  52.1 1309s
 328222 25772 132071.088   86   18 132177.014 131934.014  0.18%  52.0 1313s
 334228 26432 132125.633  103   23 132177.014 131934.014  0.18%  51.2 1315s
 338435 26708 132021.296   70   35 132177.014 131940.296  0.18%  50.8 1321s
 340211 26656 131953.787  105   25 132177.014 131940.300  0.18%  50.6 1326s
 341854 28382 131996.942   84   55 132177.014 131942.942  0.18%  50.6 1331s
 349203 28047 131990.088   94   35 132177.014 131960.573  0.16%  49.9 1336s
 354357 28609 infeasible   96      132177.014 131961.014  0.16%  49.3 1345s
 362613 30060 infeasible   86      132177.014 131961.014  0.16%  48.5 1350s
 366349 31032 132044.633   87   20 132177.014 131961.014  0.16%  48.2 1356s
 369174 30197 infeasible   99      132177.014 131961.014  0.16%  47.9 1361s
 372069 31484 132098.633   91   25 132177.014 131963.088  0.16%  47.8 1367s
 378857 31196 132075.296   76   27 132177.014 131963.088  0.16%  47.1 1371s
 382467 31853 infeasible   95      132177.014 131967.296  0.16%  46.7 1379s
 384213 32667 infeasible   94      132177.014 131969.942  0.16%  46.7 1383s
 390643 32399 132071.633   80   22 132177.014 131988.014  0.14%  46.1 1385s
 393166 33055 132015.014   90   27 132177.014 131988.014  0.14%  45.9 1391s
 397543 32375 infeasible   79      132177.014 131988.014  0.14%  45.5 1398s
 400445 33245 131988.014   87   44 132177.014 131988.014  0.14%  45.3 1402s
 407537 32595 infeasible   93      132177.014 131990.088  0.14%  44.7 1405s
 410522 32115 132053.016  109   47 132177.014 131996.942  0.14%  44.5 1410s
 411608 32350 132080.561   96   39 132177.014 131996.942  0.14%  44.5 1416s
 414215 34209     cutoff   99      132177.014 131996.942  0.14%  44.4 1420s
 421187 33986 132023.942   89   42 132177.014 131996.942  0.14%  43.9 1425s
 424478 34799 infeasible   95      132177.014 131996.942  0.14%  43.7 1433s
 425766 36507 infeasible   99      132177.014 131996.942  0.14%  43.7 1437s
 432340 36348 infeasible  127      132177.014 131996.942  0.14%  43.3 1441s
 434834 36001 132096.014   79   13 132177.014 132015.014  0.12%  43.2 1447s
 439634 35482 infeasible   96      132177.014 132015.014  0.12%  42.8 1453s
 442325 36530 132125.633   91   11 132177.014 132015.014  0.12%  42.6 1457s
 449261 36322 infeasible   85      132177.014 132015.014  0.12%  42.1 1460s
 453048 36334 infeasible   98      132177.014 132015.014  0.12%  41.8 1468s
 455723 37344 infeasible   90      132177.014 132015.014  0.12%  41.7 1472s
 462737 37445 132042.014   95   18 132177.014 132015.014  0.12%  41.2 1476s
 467332 38505 132098.309   83   33 132177.014 132017.309  0.12%  40.9 1481s
 470235 38348 132098.309   77   27 132177.014 132017.309  0.12%  40.7 1487s
 472018 39729 132098.633   91   34 132177.014 132017.309  0.12%  40.7 1492s
 478502 39544 132071.088   95   23 132177.014 132017.633  0.12%  40.2 1495s
 481719 40070 132071.633  106   22 132177.014 132017.633  0.12%  40.1 1500s
 485126 39566 132125.633  104   13 132177.014 132017.633  0.12%  39.9 1506s
 487611 40507 infeasible   97      132177.014 132017.633  0.12%  39.8 1510s
 494792 40134 132098.633   80   12 132177.014 132017.633  0.12%  39.3 1515s
 497423 38596 infeasible   81      132177.014 132021.296  0.12%  39.3 1520s
 502903 39372 infeasible   83      132177.014 132021.719  0.12%  38.9 1529s
 504717 40532 132050.942   98   25 132177.014 132023.942  0.12%  38.9 1533s
